,,predicted y using no of features according to heat map,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.061781111,,0.057943007,0.085344772,0.08855593,0.075784792,0.069421023,0.069591528,0.069591528,0.069591528,0.071274367
0.056126819,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.036875909,,0.057943007,0.039514197,0.053176414,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.052913623
0.03772365,,0.057943007,0.039514197,0.054979226,0.048759201,0.046841729,0.047938699,0.042598107,0.042391055,0.052913623
0.065713063,,0.085697778,0.086067797,0.087211169,0.07208366,0.078396254,0.079439348,0.074647155,0.073139119,0.077846429
0.038517547,,0.057943007,0.085344772,0.087840151,0.075784792,0.068741327,0.058973341,0.068741327,0.068867527,0.071274367
0.049964807,,0.085697778,0.086067797,0.087211169,0.07208366,0.08913075,0.079439348,0.074647155,0.073139119,0.077846429
0.068768818,,0.085697778,0.085344772,0.085133835,0.07208366,0.081788361,0.079439348,0.074647155,0.073139119,0.077846429
0.044785499,,0.057943007,0.039514197,0.054979226,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.052913623
0.056081269,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.077846429
0.054884226,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.065233562,,0.085697778,0.085344772,0.087204469,0.082851177,0.08913075,0.084775561,0.085339174,0.080154586,0.077846429
0.056180021,,0.057943007,0.069591528,0.069990793,0.056808131,0.061468578,0.049271942,0.069591528,0.060510167,0.056220694
0.05799646,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.052703327,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.053974836,,0.057943007,0.085253998,0.082941594,0.075784792,0.069421023,0.069591528,0.069591528,0.069591528,0.070993757
0.080275014,,0.085697778,0.086067797,0.08952208,0.083500331,0.090320564,0.084775561,0.085339174,0.084247693,0.093091685
0.096120069,,0.078004144,0.105110872,0.114037794,0.082851177,0.096196943,0.115642037,0.094046268,0.084247693,0.086759985
0.041645313,,0.057943007,0.039514197,0.053176414,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.052913623
0.042669009,,0.057943007,0.085344772,0.084744281,0.082851177,0.069591528,0.074751584,0.074647155,0.073139119,0.071274367
0.065953312,,0.085697778,0.085344772,0.087204469,0.082851177,0.08913075,0.084775561,0.085339174,0.080154586,0.077846429
