,,predicted y using no of features in heatmap,,,,,,,,
actual y test,no of variable,1,2,3,4,5,6,7,8,predicted y using all features
0.035850141,,0.059160882,0.048651105,0.046368874,0.043315792,0.042800335,0.047233324,0.047432687,0.04924407,0.04924407
0.144254706,,0.048039409,0.049084041,0.049264811,0.050555399,0.052064872,0.049509745,0.0486814,0.045341468,0.045341468
0.076232587,,0.048039409,0.050998474,0.048854098,0.05051541,0.051411961,0.053991262,0.053591131,0.051720549,0.051720549
0.047173434,,0.048039409,0.056321533,0.052886527,0.054666818,0.055277594,0.05607369,0.055549274,0.052391176,0.052391176
0.058185142,,0.053892816,0.08072818,0.07989698,0.081449575,0.08256622,0.078977153,0.078191103,0.076894472,0.076894472
0.080208123,,0.048039409,0.056321533,0.054871678,0.056056851,0.057338263,0.058769555,0.058291237,0.050373211,0.050373211
0.041274032,,0.076135763,0.063477559,0.061120997,0.0570815,0.052189608,0.051763601,0.05202652,0.054383162,0.054383162
0.050262545,,0.067355652,0.056307841,0.054107907,0.046399304,0.04290218,0.045948352,0.046499297,0.038988706,0.038988706
0.082970885,,0.051551453,0.043094171,0.043409016,0.046783931,0.047163738,0.042889827,0.04189461,0.049348969,0.049348969
0.060303393,,0.048039409,0.043588216,0.041102257,0.044130283,0.044242833,0.042697917,0.041916636,0.050916371,0.050916371
0.037114341,,0.052722135,0.054311808,0.052621276,0.055323365,0.055656597,0.051581778,0.050683061,0.048931751,0.048931751
0.08981698,,0.048039409,0.056321533,0.054546243,0.056038192,0.057101816,0.058531761,0.058046437,0.054441318,0.054441318
0.060891839,,0.053892816,0.08072818,0.079457644,0.081144383,0.082111352,0.078519481,0.077734119,0.079690187,0.079690187
0.06554233,,0.063258267,0.052264683,0.049998983,0.038785734,0.033411293,0.034246167,0.034797315,0.033285634,0.033285634
0.038971616,,0.059746223,0.049158659,0.046870097,0.041224153,0.042031876,0.045851898,0.046106693,0.046179494,0.046179494
0.080748112,,0.081403829,0.170024146,0.165040589,0.163160874,0.164859539,0.163255121,0.163317203,0.153507448,0.153507448
0.355423367,,0.139937901,0.231519025,0.225518344,0.222006445,0.222797025,0.224418419,0.225783195,0.22609539,0.22609539
0.045831544,,0.055648838,0.048729577,0.058442891,0.060881767,0.063400952,0.059361331,0.058362789,0.053898542,0.053898542
0.065905765,,0.048039409,0.063092091,0.061782826,0.063624818,0.064641882,0.060642975,0.057865323,0.053732879,0.053732879
0.088897281,,0.048039409,0.063092091,0.092813012,0.092089422,0.100116576,0.096340033,0.093263419,0.086251869,0.086251869
0.099418357,,0.048039409,0.043611563,0.041154199,0.043382796,0.043912733,0.041880086,0.041088774,0.049049868,0.049049868
