,,predicted y using no of features according to heatmap,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.047601792,,0.071199049,0.073600212,0.065405705,0.055223388,0.052716341,0.051502707,0.052377885,0.050796749,0.050796749
0.051373402,,0.046534154,0.047703999,0.041267739,0.047010463,0.036965671,0.041620187,0.042958392,0.050757997,0.050757997
0.076185176,,0.071199049,0.079128129,0.087957516,0.084991329,0.084838856,0.078711007,0.078402285,0.081080845,0.081080845
0.022246375,,0.03987818,0.079542686,0.037255083,0.042000403,0.047824579,0.044315081,0.044305713,0.04000898,0.04000898
0.042481203,,0.043697007,0.046113234,0.048792963,0.090619329,0.095310866,0.093962736,0.093930753,0.079668344,0.079668344
0.028188421,,0.06051121,0.037183063,0.028842291,0.025311219,0.030264404,0.028804138,0.028889964,0.028842534,0.028842534
0.069690605,,0.071199049,0.079128129,0.066898543,0.069853015,0.069480506,0.07540039,0.074991889,0.071573925,0.071573925
0.05689203,,0.038080079,0.035305591,0.037376973,0.044893677,0.044203212,0.04141084,0.042426241,0.057121429,0.057121429
0.056256721,,0.03987818,0.045917893,0.050090124,0.053368969,0.054845225,0.053778737,0.053051626,0.053048322,0.053048322
0.034827753,,0.039536178,0.046353696,0.044069279,0.043780747,0.045101998,0.044248364,0.044342475,0.039806344,0.039806344
0.03805959,,0.041134742,0.037384582,0.035938056,0.041974355,0.038783171,0.036551059,0.036070467,0.037131559,0.037131559
0.053985517,,0.060547276,0.039077125,0.039662901,0.03511124,0.037118057,0.037376485,0.036809053,0.045737425,0.045737425
0.052372587,,0.039389723,0.036988729,0.039198833,0.037332141,0.035786395,0.035835199,0.035081539,0.03584737,0.03584737
0.042758753,,0.041134742,0.039757893,0.043391964,0.043453949,0.044473312,0.045619998,0.04504037,0.042231316,0.042231316
0.058178973,,0.07301617,0.074387859,0.059499724,0.058002114,0.057509138,0.057696294,0.059112798,0.059421965,0.059421965
0.096137258,,0.061699796,0.067130442,0.072263767,0.082188077,0.073839997,0.079478554,0.0803368,0.078350049,0.078350049
0.041839646,,0.039389723,0.036988729,0.035587595,0.034209823,0.036362421,0.035528707,0.035710555,0.03729591,0.03729591
0.082229337,,0.071199049,0.081487022,0.095554816,0.104580558,0.107427076,0.10407523,0.105906454,0.081958056,0.081958056
0.05854405,,0.096396026,0.105511442,0.110804342,0.104909674,0.10716651,0.109741337,0.109340477,0.095308966,0.095308966
0.029731188,,0.210760331,0.080787613,0.060422741,0.05456432,0.05233887,0.051542413,0.051017894,0.055633554,0.055633554
0.075088684,,0.071199049,0.079128129,0.074513881,0.080704758,0.078966366,0.078186869,0.078098354,0.078080969,0.078080969
0.064930239,,0.071199049,0.073837041,0.069520229,0.067265936,0.061491703,0.063169466,0.062158096,0.065688982,0.065688982
0.09554185,,0.210760331,0.2478023,0.365876308,0.357052603,0.355318421,0.363956095,0.363819409,0.283293009,0.283293009
0.060661556,,0.071199049,0.073600212,0.060024742,0.054765692,0.056250176,0.056143981,0.056191299,0.06031849,0.06031849
0.095332758,,0.096396026,0.105511442,0.11701165,0.105394607,0.105508503,0.105558291,0.10515743,0.0969408,0.0969408
0.026446186,,0.071199049,0.0419319,0.034731855,0.029847047,0.028372415,0.02846183,0.028904764,0.026249896,0.026249896
0.061781111,,0.061699796,0.067130442,0.074133574,0.075730512,0.072474888,0.078918328,0.080718862,0.062867316,0.062867316
