Gradation,d,Sf,DEPTH,width,n,SPEC.,uavg,g,lambda
1.53,0.000164,0.0001293,1.463,88.392,1.16E-06,2.65,0.659541946,9.81,0.034116656
1,0.001038,0.00046,0.3499,0.78,7.70E-07,2.65,0.366386733,9.81,0.094065581
1.42,0.000226,0.0001038,2.2555,128.016,8.24E-07,2.65,0.769165797,9.81,0.031046218
1.49,0.000167,0.0001271,1.6459,86.563,1.16E-06,2.65,0.694435273,9.81,0.034032504
1.41,0.000273,0.0000938,2.1641,126.187,8.60E-07,2.65,0.760283238,9.81,0.027551026
1.46,0.000325,0.000167,1.9294,109.93,0.000001,2.65,0.733224426,9.81,0.047018995
1.41,0.000131,0.0001387,1.6154,86.563,1.15E-06,2.65,0.690739303,9.81,0.036841445
1.53,0.00036,0.000173,2.1763,110.693,1.12E-06,2.65,0.778738934,9.81,0.048706793
1.55,0.000192,0.0001292,1.6459,86.563,1.15E-06,2.65,0.698211841,9.81,0.034221575
1.39,0.000118,0.000149,2.4079,70.409,1.16E-06,2.65,0.814240834,9.81,0.042454859
1.37,0.000234,0.0001203,3.5052,113.386,8.79E-07,2.65,0.935486161,9.81,0.037801771
1,0.001038,0.0006,0.2387,0.78,8.08E-07,2.65,0.322253016,9.81,0.108197727
1,0.001038,0.00032,0.3706,0.78,7.80E-07,2.65,0.380519463,9.81,0.064255468
1.52,0.00032,0.00012,2.6365,139.538,9.59E-07,2.65,0.838979042,9.81,0.035262674
1.27,0.000233,0.0001195,3.6271,118.262,1.06E-06,2.65,0.961172808,9.81,0.036807213
1.37,0.000289,0.000112,3.2004,116.434,8.75E-07,2.65,0.905125758,9.81,0.034325185
1.33,0.000279,0.0001132,3.5357,117.653,9.15E-07,2.65,0.948987221,9.81,0.034866596
1.24,0.000182,0.0001522,2.1336,49.073,0.000001,2.65,0.77862953,9.81,0.042021772
1.23,0.000176,0.0001435,2.1946,49.378,1.35E-06,2.65,0.807447361,9.81,0.037895469
1.75,0.0004,0.000153,2.6731,140.966,1.05E-06,2.65,0.861492421,9.81,0.04323268
1.29,0.00022,0.0001205,3.5966,118.262,1.03E-06,2.65,0.970322386,9.81,0.036112332
1.56,0.000285,0.000183,1.4691,136.717,7.91E-07,2.65,0.667138077,9.81,0.047389207
1.66,0.000395,0.000147,2.542,139.974,1.06E-06,2.65,0.848357965,9.81,0.040732686
1.46,0.0003,0.000173,1.9141,110.32,9.08E-07,2.65,0.750150613,9.81,0.046165999
1.38,0.000275,0.0001196,3.4442,110.947,9.01E-07,2.65,0.951642043,9.81,0.035684593
1.42,0.000315,0.000389,1.4539,136.106,8.13E-07,2.65,0.668266671,9.81,0.099355745
1.91,0.00034,0.00016,2.6975,146.373,1.09E-06,2.65,0.873513588,9.81,0.044376245
1.22,0.00017,0.0001465,2.1641,49.378,1.25E-06,2.65,0.807963014,9.81,0.038101356
