c(kg),Dgr,d/R,i,Fr
0.182,24.82739775,0.017857143,0.022,6.474939476
0.316,24.82739775,0.03030303,0.027,4.12262064
0.057,24.82739775,0.015625,0.016,4.413629156
0.125,72.60964742,0.0453125,0.019,2.493550329
0.207,72.60964742,0.069047619,0.022,2.015463612
0.459,72.60964742,0.050877193,0.023,3.86687786
0.451,72.60964742,0.087878788,0.023,2.231071347
0.323,72.60964742,0.058,0.021,2.709158064
0.461,139.0334274,0.098245614,0.023,2.076886498
0.371,139.0334274,0.155555556,0.027,1.663558757
0.329,139.0334274,0.107692308,0.021,1.984656341
0.22,139.0334274,0.130232558,0.023,1.605487918
0.105,139.0334274,0.0875,0.02,1.827523481
0.099,210.7548514,0.135483871,0.026,1.556667915
0.238,210.7548514,0.190909091,0.024,1.433122843
0.424,210.7548514,0.158490566,0.022,1.792776276
0.24,210.7548514,0.233333333,0.026,1.279377863
0.241,49.97107661,0.0625,0.029,2.389265363
0.144,49.97107661,0.031746032,0.02,3.708456903
0.294,49.97107661,0.035714286,0.02,4.053824645
0.242,49.97107661,0.05,0.022,2.678015443
0.126,13.2423353,0.010392157,0.022,9.359627385
0.162,13.2423353,0.01325,0.024,6.357067719
0.14,210.7548514,0.227027027,0.026,1.262905187
0.04,49.97107661,0.030769231,0.03,2.932794925
0.122,49.97107661,0.036363636,0.028,3.142280277
0.192,49.97107661,0.051282051,0.029,3.017721419
0.211,49.97107661,0.035087719,0.026,4.416177686
0.274,72.60964742,0.05,0.027,3.595024629
0.125,72.60964742,0.052727273,0.03,2.591979947
0.038,72.60964742,0.0453125,0.032,2.441991958
0.854,139.0334274,0.098245614,0.027,2.674674552
0.193,139.0334274,0.16,0.034,1.598656054
0.193,139.0334274,0.103703704,0.027,1.984656341
0.418,139.0334274,0.098245614,0.022,2.760072846
0.635,210.7548514,0.142372881,0.025,2.133211587
0.201,210.7548514,0.221052632,0.03,1.446850073
0.083,210.7548514,0.155555556,0.03,1.575886038
0.259,210.7548514,0.133333333,0.027,1.809248953
0.071,210.7548514,0.135483871,0.028,1.567649699
0.061,210.7548514,0.161538462,0.039,1.630794959
0.138,210.7548514,0.161538462,0.04,2.295192905
0.286,210.7548514,0.15,0.038,1.919066795
0.264,210.7548514,0.158490566,0.045,2.295192905
0.184,210.7548514,0.15,0.03,1.836703413
0.16,139.0334274,0.105660377,0.035,2.107629883
0.26,139.0334274,0.107692308,0.035,2.213523767
0.101,139.0334274,0.105660377,0.034,1.994904136
0.051,139.0334274,0.105660377,0.035,1.912921774
0.044,72.60964742,0.054716981,0.033,2.629476945
0.058,72.60964742,0.051785714,0.033,2.906017301
0.11,72.60964742,0.055769231,0.039,2.863833179
0.328,72.60964742,0.055769231,0.031,3.412226766
0.125,49.97107661,0.039215686,0.032,4.699265999
0.085,49.97107661,0.036363636,0.03,4.738898363
0.085,49.97107661,0.036363636,0.029,3.600883344
0.096,22.76635446,0.020454545,0.0412,3.943748598
0.105,22.76635446,0.015517241,0.0354,4.424289394
0.182,22.76635446,0.019148936,0.0383,4.300011602
0.243,22.76635446,0.017647059,0.0376,4.855119072
0.119,63.2398735,0.048076923,0.053,2.763938093
0.158,63.2398735,0.043859649,0.0496,2.927984778
0.145,63.2398735,0.041666667,0.0476,3.057233682
0.217,63.2398735,0.048076923,0.0528,3.151684804
0.176,63.2398735,0.044642857,0.0493,3.136771469
0.252,63.2398735,0.042372881,0.0478,3.320702601
0.159,22.76635446,0.018,0.0427,4.258585671
0.044,22.76635446,0.018367347,0.0263,4.449144952
0.061,22.76635446,0.018,0.0286,4.366293091
0.105,22.76635446,0.018,0.0396,4.291726416
0.186,22.76635446,0.018367347,0.0399,4.21715974
0.059,18.13919601,0.007128713,0.0581,4.63192837
0.12,18.13919601,0.0072,0.0531,5.731661866
0.224,18.13919601,0.007128713,0.0451,6.43064502
0.294,18.13919601,0.0072,0.0389,7.38126211
0.398,18.13919601,0.007128713,0.0353,8.275960548
0.465,18.13919601,0.006990291,0.036,9.133379884
0.672,18.13919601,0.006990291,0.026,11.23964912
0.055,18.13919601,0.008470588,0.0644,4.790364551
0.269,18.13919601,0.008571429,0.0432,5.219074219
0.349,18.13919601,0.008571429,0.0401,5.694382764
0.508,18.13919601,0.008470588,0.0422,6.272208838
1.036,18.13919601,0.0096,0.0216,7.530378516
0.794,18.13919601,0.008470588,0.0336,7.735413575
0.935,18.13919601,0.008372093,0.0142,8.313239649
0.919,18.13919601,0.008372093,0.0073,9.142699659
0.94,18.13919601,0.008,0.017,9.468891798
0.021,18.13919601,0.005625,0.0368,4.585329493
0.056,18.13919601,0.005669291,0.044,5.582545459
0.108,18.13919601,0.005669291,0.0469,6.449284571
0.182,18.13919601,0.005669291,0.0426,7.437180762
0.234,18.13919601,0.005714286,0.0348,8.369158302
0.062,18.13919601,0.006206897,0.0473,4.63192837
0.237,18.13919601,0.006206897,0.0561,6.700918506
0.544,18.13919601,0.006101695,0.046,8.648751563
0.276,18.39112928,0.01140625,0.0211,4.4982805
0.133,18.39112928,0.008902439,0.0242,4.775952136
0.038,18.39112928,0.006517857,0.0424,4.202097422
0.217,18.39112928,0.009012346,0.0522,4.572326269
0.171,18.39112928,0.007934783,0.0531,4.812975021
0.075,18.39112928,0.006460177,0.063,4.914787954
0.104,18.39112928,0.0073,0.0904,4.711162087
0.303,18.39112928,0.009358974,0.0799,5.136925262
1.044,18.39112928,0.009605263,0.0246,7.330531185
0.351,18.39112928,0.008690476,0.0412,5.608967043
0.0552,18.39112928,0.008588235,0.0625,4.803719299
0.941,18.39112928,0.008390805,0.0152,8.154290371
0.923,18.39112928,0.008488372,0.0076,9.005816721
0.947,18.39112928,0.008111111,0.0172,9.376045569
0.27,18.39112928,0.008690476,0.0438,5.146180983
0.512,18.39112928,0.008488372,0.0451,6.164310315
0.8,18.39112928,0.008588235,0.0345,7.635969984
0.0493,18.39112928,0.009605263,0.0338,4.738929251
0.44,18.39112928,0.008690476,0.051,4.96106656
0.788,18.39112928,0.008588235,0.0189,7.423088397
0.114,18.39112928,0.008202247,0.0299,5.442364062
0.252,18.39112928,0.007684211,0.0443,5.618222764
0.413,18.39112928,0.007934783,0.0228,7.339786906
0.823,18.39112928,0.007684211,0.0131,8.959538115
0.78,18.39112928,0.007525773,0.0222,8.792935134
0.205,18.39112928,0.007373737,0.0284,7.413832676
0.212,18.39112928,0.00744898,0.0631,5.599711322
0.783,18.39112928,0.007684211,0.042,8.829958018
0.507,18.39112928,0.008295455,0.0395,6.497516278
0.0765,18.39112928,0.007934783,0.0089,6.812210798
0.322,18.39112928,0.007525773,0.0672,6.099520266
0.297,18.39112928,0.007525773,0.0573,7.025092386
0.378,18.39112928,0.007765957,0.0449,8.394939122
0.606,18.39112928,0.00744898,0.0851,8.691122201
0.0192,11.86502916,0.005595238,0.0561,6.037455555
0.103,11.86502916,0.005465116,0.0521,7.083947852
0.211,11.86502916,0.005222222,0.0507,7.762442857
0.355,11.86502916,0.005222222,0.041,8.785935323
0.554,11.86502916,0.005340909,0.0301,10.22342474
0.638,11.86502916,0.005340909,0.0252,11.32741661
0.798,11.86502916,0.005280899,0.0187,12.2934095
0.798,11.86502916,0.005164835,0.0191,13.07540375
0.0422,11.86502916,0.004795918,0.056,7.106947682
0.378,15.39929316,0.007093023,0.0544,6.420010974
0.203,15.39929316,0.007176471,0.0535,5.471141428
0.148,15.39929316,0.007176471,0.0648,4.441517026
0.438,15.39929316,0.007093023,0.0466,7.308314379
0.561,15.39929316,0.006931818,0.0489,7.853409651
0.649,15.39929316,0.006853933,0.0366,9.811714885
0.283,15.39929316,0.007261905,0.0385,6.652181182
0.424,15.39929316,0.007011494,0.0473,7.853409651
0.463,15.39929316,0.006853933,0.0467,7.611145086
0.311,15.39929316,0.007176471,0.0429,7.227559524
0.136,15.39929316,0.005258621,0.0629,5.965764915
0.0289,15.39929316,0.005213675,0.0475,4.794819517
0.0961,15.39929316,0.005213675,0.0665,5.763877777
0.464,14.64195087,0.006373626,0.0627,6.118106835
0.0518,14.64195087,0.006744186,0.0364,5.238176072
0.425,14.64195087,0.006590909,0.049,7.339657776
0.425,14.64195087,0.006516854,0.0461,8.06430664
